rh_id,n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet
RH_fiche_182_,,,31,Saint Orens de Gameville,,Espace Pour Tous,,31650,,,432432,63 311,,,FIGO Centre social,,,
RH_fiche_183_,,,32,Saint-Clar,,Médiathèque de Saint-Clar,,32380,place dastros,,,,,,FIGO Centre social,05 62 07 49 12,mediathequestclar@orange.fr,https://fr-fr.facebook.com/mediatheque.desaintclar
RH_fiche_184_,,,31,Saint-Jean,,ESPACE MEDIATION NUMERIQUE ST JEAN,,31240,,,,,PUB. COMMUNE,COMMUNE DE ST JEAN,,05 32 09 68 37,sylvie.blanc@mairie-saintjean.fr,
RH_fiche_185_,,,31,Saint-Jean,,MJC Les Granges / Saint Jean,,31240,33 route d'Albi,ter,,,,,,05 32 09 67 50,,https://www.mairie-saintjean.fr/les-granges/
RH_fiche_186_,,,31,Saint-Jean,,Centre Social Les Granges / Saint Jean,,31240,33 route d'Albi,ter,,,,,FIGO Centre social,05 32 09 68 37,,https://www.mairie-saintjean.fr/les-granges/
RH_fiche_187_,,,31,Saint-Jean,,CREATEC - LES GRANGES,,31240,33 terue route d'Albi,,,,PRV. ASSOCIATION,ASSOCIATION MJC SAINT JEAN,,,direction@mjcstj31.fr,
RH_fiche_188_,,,31,Saint-Lys,,MJC-Centre social,,31470,1 Rue des Glycines,,,,,,FIGO Centre social,05 34 48 56 91,centresocial@saint-lys.fr,
RH_fiche_189_,,,11,Salles sur l'hers,,Castelnaudary Lauragais Audois,ENERGIES PIEGE,11410,9 Rue des Rosiers,,,,,,Association,,,
RH_fiche_190_,,,32,Samatan,,MSAP Gestes,,,,,,,,,MSAP,,,
RH_fiche_191_,,,32,Samatan,,Le bureau Samatanais,,32130,,,,,,,,05 62 59 71 02,contact@lebureausamatanais.fr,http://www.lebureausamatanais.fr/#
RH_fiche_192_,,,32,Samatan,,CCAS,,32130,,,,,,,MSAP,,,
RH_fiche_193_,,,32,Samatan,,LE BUREAU SAMATANAIS,,32130,6 rue de la commanderie,,,,PRV. SAS,SAS LE BUREAU SAMATANAIS,,06 33 48 01 17,contact@lebureausamatanais.fr,
RH_fiche_194_,,,65,Sarp,,Sarp,CC Neste Barousse,65370,Maison de la Barousse,Centre Village,,,,,,,communaute-de-communes@neste-barousse.fr,
RH_fiche_195_,,,65,Sarp,,Maison de la Communauté de communes MSAP,,65370,le village,,,,,,,05 62 99 35 23,communaute-de-communes@neste-barousse.fr,
RH_fiche_196_,,,32,Sarrant,,Espace de Vie Sociale LaMIS,,32120,14 rue du milieu,,,,,,FIGO Centre social,05 42 54 25 24,lamis@orange.fr,
RH_fiche_197_,,,32,Seissan,,Val de Gers - Antenne de Seissan,Communauté de Communes Val de Gers,32260,1 Place Carnot,,,,,,Collectivité,,accueil@cc-valdegers.fr,
RH_fiche_198_,,,11,Sigean,,PIMMS - Corbières Méditerranée,Union Nationale des PIMMS,11130,2 place de la Libération,,,,,,PIMMS,04 68 33 51 12,sigean@pimms.org,
RH_fiche_199_,,,32,Simorre,,LE BOUCHE A OREILLE,,32420,,,,,PRV. SCIC SARL,,,05 62 05 52 42,contact@lebao.fr,
RH_fiche_200_,,,65,St Lary soulan,,Saint-Lary-Soulan,Guichet Initiative Pluriactivité Emploi (GIPE),65170,36 rue Vincent Mir,Galerie Commerciale,,,,,Association,,,
RH_fiche_201_,,,65,St Lary soulan,,MSAP Guichet Initiative Pluriactivité Emploi (GIPE),,65170,36 rue Vincent Mir,,,,,,,05 62 40 08 14,,
RH_fiche_202_,,,65,St Lary soulan,,Médiathèque Maison du Patrimoine,,65170,41 rue Vincent Mir,,,,,,,05 62 40 87 86,accueil@patrimoine-stlary.fr,
RH_fiche_203_,,,65,Séméac,,bibliothèque Albert Camus,,65600,51  rue de la République,,,,,,,05 62 37 78 63,biblio.albert.camus@agglo-tlp.fr,
RH_fiche_204_,,,65,Séméac,,Restos du Cœur,,65600,41 rue de la République,,,,Association,,,,,
RH_fiche_205_,,,65,Tarbes,,Tarbes Laubadère,La Poste,65000,10 Avenue Antoine de Saint-exupéry,,,,,,La Poste,,,
RH_fiche_206_,,,65,Tarbes,,L'ADR'ESS,,65000,2 Boulevard Garigliano,,,,PRV. ASSOCIATION,LES PETITS DEBROUILLARDS,,06 48 86 91 40,e.portalier@lespetitsdebrouillards.org,
RH_fiche_207_,,,65,Tarbes,,CRESCENDO - PLURIFAB - LA MANUFACTURE,,65000,14 Boulevard Pierre RENAUDET,,,,PRV. ASSOCIATION,ASSOCIATION CRESCENDO,,05.62.36.21.34 - 06.10.78.05.87,emmanuel.dubie@crescendo-tarbes.com,
RH_fiche_208_,,,65,Tarbes,,bibliothèque Louis Aragon,,65000,31  rue André Fourcade,,,,,,,05 62 44 38 98,,
RH_fiche_209_,,,65,Tarbes,,bibliothèque Nelson Mandela,,65000,10  avenue Antoine de Saint Exupéry,,,,,,,05 62 37 99 20,biblio.nelson.mandela@agglo-tlp.fr,
RH_fiche_210_,,,65,Tarbes,,Espace Public Initiatives Citoyennes (EPIC),,65000,4 rue Erik Satié,,,,,,,05 62 54 38 72,,
RH_fiche_211_,,,65,Tarbes,,Association Informatique Tarbaise,,65000,7 rue André Breyer,,,,Association,,,06 25 39 46 24,,
RH_fiche_212_,,,65,Tarbes,,St Vincent de Paul,,65000,14 rue Solférino,,,,,,,05 62 51 13 82,,
RH_fiche_213_,,,65,Tarbes,,Confédération Syndicale des Familles,,65000,33 rue E Ténot,,,,,,,05 62 38 17 69,,
RH_fiche_214_,,,65,Tarbes,,Maison Départementale de la Solidarité site des Bigerrions,,65000,37 boulevard du martinet,,,,Collectivités,,,05 62 53 34 65,,
RH_fiche_215_,,,65,Tarbes,,Maison Départementale de la Solidarité site de Gaston Dreyt,,65000,5 rue Gaston Dreyt,,,,Collectivités,,,05 62 56 73 02,,
RH_fiche_216_,,,65,Tarbes,,Maison Départementale de la Solidarité site de St Exupéry,,65000,8 rue du Comminges,,,,Collectivités,,,05 31 74 36 50,,
RH_fiche_217_,,,65,Tarbes,,Bureau d'information Jeunesse (BIJ),,65000,3 rue colomès de Juillan,,,,,,,05 62 93 22 12,jeunesseviecitoyenne@mairie-tarbes.fr,
RH_fiche_218_,,,65,Tarbes,,point jeunes Laub'ados,,65000,26 rue Guynemer,,,,,,,05 62 36 31 68,jeunesse.nord@mairie-tarbes.fr,
RH_fiche_219_,,,65,Tarbes,,Solidarité avec les Gens du Voyage (SAGV),,65000,17 avenue Joffre,,,,,,,05 62 36 76 44,sagv65@wanadoo.fr,
RH_fiche_220_,,,65,Tarbes,,atelier Canopé,,65000,11 rue G. Magnoac,,,,,,,05 62 44 36 36,,
RH_fiche_221_,,,65,Tarbes,,Adr'ESS,,65000,2 boulevard Gargliano,,,,,,,06 56 83 53 57,,
RH_fiche_222_,,,65,Tarbes,,Portes Ouvertes,,65000,6 cité Mouysset,,,,,,,06 33 42 80 52,,
RH_fiche_223_,,,11,Thezan des corbieres,,Espace Public Numérique de la Contrée de Durban-Corbières,,11200,,,,,,,,,developpementlocal@contree-durban-corbieres.fr,
RH_fiche_224_,,,31,Toulouse,,Bibliotheque Grand M,,31000,37 avenue de la Reynerie,,,,,Bibliothèque,Collectivités,05 81 91 79 40,,www.bibliotheque.toulouse.fr
RH_fiche_225_,,,31,Toulouse,,Combustible numérique,,31000,,,,,Association,Association,Association,,contact@combustible.fr,
RH_fiche_226_,,,31,Toulouse,,Trajectoire vers l'emploi,,31000,,,,,,Association,Association,,,
RH_fiche_227_,,,31,Toulouse,,Lieu Ressource Formation,,31000,,,,,,Association,Association,,,
RH_fiche_228_,,,31,Toulouse,,7 notre quartier,,31000,,,,,Association,Association,Association,,,
RH_fiche_229_,,,31,Toulouse,,CSF – Section Mirail,,31000,14 cheminement le Tintoret,,,,Association,Association,Association,,,www.csfmirailblf.wixsite.com/csfmirail
RH_fiche_230_,,,31,Toulouse,,ADPAM,,31000,,,,,Association,Association,Association,,,
RH_fiche_231_,,,31,Toulouse,,Mieux Vivre Ensemble à la Gloire,,31000,2 rue du général Baurot,,,,Association,Association,Association,,,
RH_fiche_232_,,,31,Toulouse,,Mission Locale,,31000,,,,,Association,Association,Association,,,
RH_fiche_233_,,,31,Toulouse,,ASTREE,,31000,,,,,Association,Association,Association,,,
RH_fiche_234_,,,31,Toulouse,,La case de santé,,31000,17 place Arnaud Bernard,,,,Association,Association,Association,05 61 23 62 35,contact@casedesante.org,http://casedesante.org/lacase_horaires.html
RH_fiche_235_,,,31,Toulouse,,AFEV,,31000,,,,,Association,Association,Association,,pole.toulouse@afev.org,
RH_fiche_236_,,,31,Toulouse,,Café social,,31000,38 rue Roquelaine,,,,Association,Association,Association,06 18 57 02 52,,
RH_fiche_237_,,,31,Toulouse,,Mairie de quartier de Serveyrolles – Soupetard,,31000,,,,,,Mairie de quartier,Mairie,,,
RH_fiche_238_,,,31,Toulouse,,Maison de la citoyenneté Centre,,31000,5 rue Paul Mériel,,,,,Maison de la citoyenneté,Mairie,,,
RH_fiche_239_,,,31,Toulouse,,CCAS,,31000,2 bis rue de belfort,,,,,,Mairie,05 61 58 85 85,,
RH_fiche_240_,,,31,Toulouse,,Centre d'Animation Soupetard,,31000,,,,,,,,,,
RH_fiche_241_,,,31,Toulouse,,MediPass,,31000,,,,,,,,,medipass@free.fr,
RH_fiche_242_,,,31,Toulouse,,SAVIF,,31000,,,,,,,,,savifs@free.fr,
RH_fiche_243_,,,31,Toulouse,,CPAM Bagatelle,,31100,33 rue du Lot,,,,,,CPAM,,,ameli.fr
RH_fiche_244_,,,31,Toulouse,,Partage Faourette,,31100,13 rue de l'ukraine,,,,,,FIGO Centre social,05 34 60 13 16,,
RH_fiche_245_,,,31,Toulouse,,Pôle Emploi La Cepiere,,31100,4 Chemin du Pigeonnierue de Cepière,,,,,,Pôle Emploi,39 49,,www.pole-emploi.fr
RH_fiche_246_,,,31,Toulouse,,"Pôle Emploi
Bellefontaine",,31100,63 allées de Bellefontaine,,,,,,Pôle Emploi,39 49,,www.pole-emploi.fr
RH_fiche_247_,,,31,Toulouse,,APSEM,,31100,3 rue Erik SATIE BP 35711,31057 Toulouse cedex 1,,,Association,,Association,05 34 60 39 40,apsem2@wanadoo.fr,http://apsem-formation.fr/
RH_fiche_248_,,,31,Toulouse,,Bell'Arc en Ciel,,31100,14 passage G Duhamel,Apt 299,,,Association,,Association,09 66 82 55 84,assobellarcenciel@gmail.com,
RH_fiche_249_,,,31,Toulouse,,Maison des Solidarites,,31100,9 rue du Doyen Lefebvre,,,,,,Conseil Départemental,,,
RH_fiche_250_,,,31,Toulouse,,Regie de quartier Bellefontaine Services,,31100,41 rue Rimont,,,,Association,,Association,09 53 17 88 71,bellefontaine.toulouse@cnlrq.org,www.bellefontaine-services.com
RH_fiche_251_,,,31,Toulouse,,Conciergerie solidaire Desbals services,,31100,135 rue henri desbals,,,,Association,,Association,05 62 14 12 55,desbals-services@wanadoo.fr,
RH_fiche_252_,,,31,Toulouse,,Les imaginations fertiles,,31100,,,,,Association,,Association,05 61 40 92 16,,
RH_fiche_253_,,,31,Toulouse,,Assos,,31100,,,,,Association,,Association,,,
RH_fiche_254_,,,31,Toulouse,,"Regie de quartier
Reynerie Services",,31100,14 avenue Winston Churchill,,,,Association,,Association,,reynerie-toulouse@cnlrq.org,www.reynerie-services.com
RH_fiche_255_,,,31,Toulouse,,Asso,,31100,,,,,Association,,Association,,,
RH_fiche_256_,,,31,Toulouse,,Alliances et Cultures MUP,,31100,14 chemin du Mirail,,,,Association,,Association,05 61 44 67 63,accueil.mup@alliancesetcultures.org,
RH_fiche_257_,,,31,Toulouse,,Mission Locale Mirail,,31100,,,,,Association,,Association,,,
RH_fiche_258_,,,31,Toulouse,,Lien horizon danse,,31100,,,,,Association,,Association,,,
RH_fiche_259_,,,31,Toulouse,,Maison de l'initiative,,31100,,,,,Association,,Association,05 34 63 81 10,,
RH_fiche_260_,,,31,Toulouse,,N pays Okhan,,31100,,,,,Association,,Association,,,
RH_fiche_261_,,,31,Toulouse,,Parle avec elles,,31100,2 rue Jean Gilles,,,,Association,,Association,,,
RH_fiche_262_,,,31,Toulouse,,L'Ecole et Nous,,31100,10 cheminement Le Tintoret,,,,Association,,Association,,assoecoleetnous@gmail.com,www.ecoleetnous.wixsite.com
RH_fiche_263_,,,31,Toulouse,,Bas d'immeubles,,31100,3 chemin Vincent d'Indy,,,,Association,,Association,05.62.14.19.70 / 09 72 83 40 47,bas.im@wanadoo.fr,
RH_fiche_264_,,,31,Toulouse,,Voir et comprendre,,31100,,,,,Association,,Association,,voir.comprendre@voiretcomprendre.fr,
RH_fiche_265_,,,31,Toulouse,,Centre social municipal Bellefontaine Lafourguette,,31100,3 impasse Foulquier,,,,,,Centre social,,,
RH_fiche_266_,,,31,Toulouse,,Centre social alliances & Cultures Mirail rive droite,,31100,2 cheminement andré messager,,,,,,Centre social,05 61 44 67 63,,
RH_fiche_267_,,,31,Toulouse,,"Centre social
CAF Reynerie",,31100,15 place Abbal,,,,,,Centre social,,,
RH_fiche_268_,,,31,Toulouse,,Espaces Seniors Connectes,,31100,14 place Abbal,,,,,,Collectivites,,,
RH_fiche_269_,,,31,Toulouse,,point information jeunesse (PIJ) Mirail,,31100,6 chemin Edgarue Varese,,,,,,,05 61 72 45 37,mespij.toulouse@crij.org,www.ij-mirail.org
RH_fiche_270_,,,31,Toulouse,,PIJ,,31100,,,,,,,,,,
RH_fiche_271_,,,31,Toulouse,,MCEF,,31100,57 allées de Bellefontaine,,,,,,,,,
RH_fiche_272_,,,31,Toulouse,,maison des solidaritésBorderouge,,31200,4 rue françoise d'eaubonne,Bat A,,,Collectivités,,Conseil Départemental,05 34 36 17 00,,
RH_fiche_273_,,,31,Toulouse,,LA FABRIQUE SOLIDAIRE DES MINIMES (FA SOL MI),,31200,local des Mazades 29 bis avenue des Mazades,,,,Association,,Association,05 61 25 38 28,,www.lafabriquesolidaire.org
RH_fiche_274_,,,31,Toulouse,,Pole Emploi Borderouge,,31200,6 rue françoise d'eaubonne,Bat C,,,,,Pôle Emploi,,,www.pole-emploi.fr
RH_fiche_275_,,,31,Toulouse,,Parole expression,,31200,19 rue Marc Arcis,,,,Association,,Association,05 82 95 67 80,,paroleexpression.fr
RH_fiche_276_,,,31,Toulouse,,maison des solidaritésMinimes,,31200,33 rue joseph jacquard,,,,Collectivités,,Conseil Départemental,05 62 72 77 80,,
RH_fiche_277_,,,31,Toulouse,,Secours populaire,,31200,147 avenue des etats unis,,,,Association,,Association,05 34 40 34 40,,
RH_fiche_278_,,,31,Toulouse,,Secours catholique,,31200,place du marche aux cochons,,,,Association,,Association,05 34 25 67 40,,
RH_fiche_279_,,,31,Toulouse,,point information jeunesse (PIJ) Quartier Nord,,31200,118 Boulevard Pierre et Marie Curie,,,,Association,,Association,05 62 72 23 78,cyberbasetoulousenord@orange.fr,http://www.pijtoulousenord.org
RH_fiche_280_,,,31,Toulouse,,Entr'act solidarite,,31200,148 avenue de fronton,,,,Association,,Association,05 61 55 59 26,,
RH_fiche_281_,,,31,Toulouse,,Mission Locale Antenne quartier nord,,31200,1 rue ernest renan,,,,Association,,Association,05 61 57 59 92,,
RH_fiche_282_,,,31,Toulouse,,Centre social Alliances & Cultures Cap Nord,,31200,12 rue Clouet,,,,,,Centre social,05 61 13 35 96,alliancesetculturesnord@yahoo.fr,www.alliancesetcultures.ouvaton.org
RH_fiche_283_,,,31,Toulouse,,CCPS et CARMI,,31200,44 chemin des izards,,,,,,Centre social,05 62 72 48 50,clshp@ccpst.org carmi@ccpst.org,
RH_fiche_284_,,,31,Toulouse,,Alliances et Cultures Les Troênes,,31200,69 rue des Troênes,,,,,,Centre social,05 61 57 14 71,,
RH_fiche_285_,,,31,Toulouse,,Antenne CCPS Picarel,,31200,26 allées Django Reinhard,,,,,,Centre social,05 61 70 45 62,,
RH_fiche_286_,,,31,Toulouse,,Antenne CCPS Les Chênes,,31200,49 rue des mésanges,,,,,,Centre social,05 62 75 46 29,,
RH_fiche_287_,,,31,Toulouse,,Centre social Izards/Borderouge,,31200,1 place Micoulaud,,,,,,FIGO Centre social,05 67 04 14 80,,
RH_fiche_288_,,,31,Toulouse,,MJC Croix-Daurade,,31200,,,,,,,,,,http://www.mjccroixdaurade.fr/
RH_fiche_289_,,,31,Toulouse,,CSF Cugnaux,,31270,,,,,,,,,,
RH_fiche_290_,,,31,Toulouse,,maison des solidaritésCastanet-Tolosan,,31300,68 avenue de Lauragais,,,,,,Conseil Départemental,05 62 71 91 80,,
RH_fiche_291_,,,31,Toulouse,,Centre Social – ASSQOT,,31300,18 rue Vincent Scotto,,,,,,Centre social,,,www.assqot.com
RH_fiche_292_,,,31,Toulouse,,Centre social annexe  Arenes romaines,,31300,107 avenue des Arènes Romaines,,,,,,Centre social,05 61 16 09 46,,
RH_fiche_293_,,,31,Toulouse,,CCPS Hameau de fleurance,,31300,12 impasse benozzi,,,,,,Centre social,05 62 72 48 50,,
RH_fiche_294_,,,31,Toulouse,,Point Infomartions Jeunesse Empalot,,31400,,,,,,,Mairie,,,
RH_fiche_295_,,,31,Toulouse,,Mediatheque Empalot,,31400,40 avenue jean moulin,,,,,,Mairie,,,
RH_fiche_296_,,,31,Toulouse,,maison des citoyennetes Niel,,31400,81 rue saint roch,,,,,,Mairie,,,
RH_fiche_297_,,,31,Toulouse,,Bibliotheque Mediatheque Rangueil,,31400,19 rue claude forbin,,,,,,Mairie,,,
RH_fiche_298_,,,31,Toulouse,,Bib' Insa,,31400,135 avenue de rangueil,,,,,,,,,
RH_fiche_299_,,,31,Toulouse,,Bibliotheque Universitaire de Sciences,,31400,118 rte de narbonne,,,,,,,,,
RH_fiche_300_,,,31,Toulouse,,Avenir Nouvelle maison des chomeurs,,31400,115 rue bonnat,,,,Association,association,Association,05 34 31 33 11,avenir.toulouse@wanadoo.fr,https://maisondeschomeurs.org
RH_fiche_301_,,,31,Toulouse,,Maison Des Solidarités Empalot,,31400,32 allée henri sellier,,,,Collectivités,,Conseil Départemental,05 61 14 76 00,,
RH_fiche_302_,,,31,Toulouse,,Centre social Jean Moulin / Empalot (CAF),,31400,38 avenue jean moulin,,,,,,FIGO Centre social,05 34 31 94 42,,https://www.facebook.com/cs.empalot/
RH_fiche_303_,,,31,Toulouse,,Mission Locale Empalot,,31400,1 place commerciale,,,,,,Mairie,,,www.mltoulouse.org
RH_fiche_304_,,,31,Toulouse,,Pole emploi St Michel,,31400,2 avenue de l'urss,,,,,,Pôle Emploi,,,
RH_fiche_305_,,,31,Toulouse,,Pole emploi La plaine,,31400,1 impasse rene couzinet,,,,,,Pôle Emploi,,,
RH_fiche_306_,,,31,Toulouse,,Rangueil club de prevention,,31400,34 avenue de Rangueil,,,,,,Collectivites,,,
RH_fiche_307_,,,31,Toulouse,,Centre Epide,,31400,3 avenue du professeurue Joseph Ducuing,,,,,,,05 81 60 89 89,,www.epide.fr
RH_fiche_308_,,,31,Toulouse,,Rectorat,,31400,75 rue saint roch,,,,,,Rectorat,,,
RH_fiche_309_,,,31,Toulouse,,MJC du Pont des demoiselles,,31400,,,,,Association,,Association,,,
RH_fiche_310_,,,31,Toulouse,,Relai 2A (association Le relai),,31400,15 rue du japon,,,,Association,,Association,,,
RH_fiche_311_,,,31,Toulouse,,GRETA,,31400,3 rue andré daste,,,,Entreprise,,Entreprise,,,
RH_fiche_312_,,,31,Toulouse,,Ligue de l'enseignement,,31400,,,,,Association,,Association,,,
RH_fiche_313_,,,31,Toulouse,,La main à la pate,,31400,62 rue de Nîmes,,,,Association,,Association,,,
RH_fiche_314_,,,31,Toulouse,,Generations solidaires,,31400,30 avenue jean moulin,,,,Association,,Association,,,
RH_fiche_315_,,,31,Toulouse,,ASTRONEF,,31400,3 place des avions,,,,Association,,Association,05 61 52 90 70,,
RH_fiche_316_,,,31,Toulouse,,ASEER,,31400,38 avenue jean moulin,,,,Association,,Association,05 61 14 26 12,aseer@laposte.net,
RH_fiche_317_,,,31,Toulouse,,Centre annexe Empalot,,31400,10 rue jean paul blanchard,,,,,,Conseil Départemental,05 61 14 94 20,,
RH_fiche_318_,,,31,Toulouse,,Maison Des Solidarités Rangueil,,31400,39 rue camille desmoullins,,,,,,Conseil Départemental,,,
RH_fiche_319_,,,31,Toulouse,,Maison Des Solidarités Pont des demoiselles,,31400,,,,,,,Conseil Départemental,,,
RH_fiche_320_,,,31,Toulouse,,AIFOMEJ,,31400,5 impasse des hérons,,,,Association,,Association,05 61 53 52 34,,
RH_fiche_321_,,,31,Toulouse,,Karavan,,31400,,,,,Association,,Association,,,
RH_fiche_322_,,,31,Toulouse,,CIDFF,,31400,95 grande rue st michel,,,,Association,,Association,05 34 31 23 31,cidff31@cdiff31.fr,
RH_fiche_323_,,,31,Toulouse,,Empalot Services,,31400,,,,,Association,,Association,,toulouse-empalot@cnlrq.org,
RH_fiche_324_,,,31,Toulouse,,Restos du coeur,,31400,286 rte de revel,,,,Association,,Association,09 83 98 46 19,,
RH_fiche_325_,,,31,Toulouse,,Emmaüs Agir,,31400,43 avenue de l'URSS,,,,Association,,Association,,,
RH_fiche_326_,,,31,Toulouse,,Maison Des Solidarités Montaudran,,31400,,,,,,,Conseil Départemental,,,
RH_fiche_327_,,,31,Toulouse,,Mairie de quartier Pont des Demoiselles,,31400,,,,,,,Mairie,,,
RH_fiche_328_,,,31,Toulouse,,Maison de quartier rangueil/centre social,,31400,,,,,,,Mairie,,,
RH_fiche_329_,,,31,Toulouse,,Bibliotheque des ponts des demoiselles,,31400,63 bis avenue st exupery,,,,,,Mairie,,,
RH_fiche_330_,,,31,Toulouse,,Cosmopolitaine,,31400,,,,,Association,,Association,,contact@cosmopolitaine.org,
RH_fiche_331_,,,31,Toulouse,,CLCV,,31400,,,,,,,,,,
RH_fiche_332_,,,31,Toulouse,,Centre social Jolimont Soupetard,,31500,Centre social Jolimont 11 avenue de l'observatoire,,,,,,FIGO Centre social,05 31 22 94 84,Jolimont.cs@mairie-toulouse.fr,
RH_fiche_333_,,,31,Toulouse,,Fédération des Femmes pour l'Europe (FFPE),,31500,1  rue Léon Jouhaux,,,,Association,,Association,,,www.ffpe-toulouse.org
RH_fiche_334_,,,31,Toulouse,,Mission Locale centre,,31500,24 rue Garipuy,,,,Association,,Association,,,
RH_fiche_335_,,,31,Toulouse,,Mission Locale Antenne Jolimont,,31500,,,,,Association,,Association,,,
RH_fiche_336_,,,31,Toulouse,,Agir et devenir,,31500,,,,,Association,,Association,,agiretdevenir@live.fr,
RH_fiche_337_,,,31,Toulouse,,Centre social Jean Rieux,,31500,,,,,,,Centre social,,,https://www.cpjr.fr/
RH_fiche_338_,,,31,Toulouse,,APSAR,,31500,70 chemin michoun,,,,,,Centre social,05 61 58 24 63,,
RH_fiche_339_,,,31,Toulouse,,Centre social Jolimont,,31500,11 avenue de l'observatoire,,,,,,Centre social,05 67 77 44 80,,
RH_fiche_340_,,,31,Toulouse,,Maison Des Solidarités Bonnefoy/Amouroux,,31500,3 rue du faubourg bonnefoy,,,,,,Conseil Départemental,05 34 25 51 00,,
RH_fiche_341_,,,31,Toulouse,,Centre social polyvalent Jean Rieux,,31500,157 avenue jean rieux,,,,,,FIGO Centre social,05 61 54 80 00,,www.cpjr.fr
RH_fiche_342_,,,31,Toulouse,,Centre social ASPAR,,31500,70 chemin Michoun,,,,,,FIGO Centre social,,,
RH_fiche_343_,,,31,Toulouse,,Centre social Jolimont Soupetard,,31500,Antenne soupetard 12 rue charles garnier,,,,,,FIGO Centre social,05 31 22 95 15,Jolimont.cs@mairie-toulouse.fr,
RH_fiche_344_,,,31,Toulouse,,Mediatheque Jose Cabanis,,31500,,,,,,,Mairie,,,
RH_fiche_345_,,,31,Toulouse,,Maison de la citoyenneté Est,,31500,8 bis avenue du parc,,,,,,Mairie,05 31 22 93 00,mdc.est@mairie-toulouse.fr,
RH_fiche_346_,,,31,Toulouse,,Pole Emploi Jolimont,,31500,,,,,,,Pôle Emploi,,,
RH_fiche_347_,,,31,Toulouse,,Mediathèque Serveyrolles,,31500,,,,,,,,,,
RH_fiche_348_,,,31,Toulouse,,Point Information Jeunesse Jolimont,,31500,,,,,,,,,,
RH_fiche_349_,,,31,Toulouse,,PRCP,,,2 allée du vignemale,,,,Association,,Association,05 61 15 43 44,prcp@wanadoo.fr,
RH_fiche_350_,,,31,Toulouse,,Apprentis d'Auteuil,,,,,,,Association,,Association,,,
RH_fiche_351_,,,31,Toulouse,,Ensemble à tout âge,,,,,,,Association,,Association,,,
RH_fiche_352_,,,31,Toulouse,,ADVITAM,,,,,,,Association,,Association,,,
RH_fiche_353_,,,31,Toulouse,,Association,,,,,,,Association,,Association,,,
RH_fiche_354_,,,31,Toulouse,,CHRS de Fages,,,,,,,Association,,Association,,,
RH_fiche_355_,,,31,Toulouse,,ADPAM,,,,,,,Association,,Association,,,
RH_fiche_356_,,,31,Toulouse,,CSF Le Cabri,,,,,,,Association,,Association,,associationlecabri@laposte.net,
RH_fiche_357_,,,31,Toulouse,,Bell’Arc en Ciel,,,,,,,Association,,Association,,bellarcenciel@wanadoo.fr,
RH_fiche_358_,,,31,Toulouse,,APSAR,,,,,,,Association,,Association,05 61 58 24 63,,
RH_fiche_359_,,,31,Toulouse,,A.I.R.S,,,,,,,Association,,Association,09 71 30 75 86,,
RH_fiche_360_,,,31,Toulouse,,Tisseo ?,,,,,,,,,Entreprise,,,
RH_fiche_361_,,,31,Toulouse,,Accueil Amouroux,,,,,,,,,Mairie,,accueil.amouroux@mairie-toulouse.fr,
RH_fiche_362_,,,31,Toulouse,,Accueil Soupetard,,,,,,,,,Mairie,,Accueil.SOUPETARD@mairie-toulouse.fr,
RH_fiche_363_,,,31,Toulouse,,Maison de la citoyenneté Est,,,,,,,,,Mairie,,Mdc.Est@mairie-toulouse.fr,
RH_fiche_364_,,,31,Toulouse,,Maison de la citoyenneté Nord,,,,,,,,,Mairie,,mdc.nord@mairie-toulouse.fr,
RH_fiche_365_,,,31,Toulouse,,Maison de la citoyenneté Rive Gauche,,,,,,,,,Mairie,,mdc.rive-gauche@mairie-toulouse.fr,
RH_fiche_366_,,,31,Toulouse,,Maison de la citoyenneté Sud Est,,,,,,,,,Mairie,,mdc.sud-est@mairie-toulouse.fr,
RH_fiche_367_,,,31,Toulouse,,Point Information Mairie Serveyrolles,,,,,,,,,Mairie,05 61 22 22 39,,
RH_fiche_368_,,,31,Toulouse,,Association Lieu Ressource Formation (LRF),,,,,,,,,,,,
RH_fiche_369_,,,31,Toulouse,,Planning Familial,,,,,,,,,,,,
RH_fiche_370_,,,31,Toulouse,,Club de Prévention ASETE,,,,,,,,,Collectivites,,,
RH_fiche_371_,,,31,Toulouse,,Bibliothèque Roseraie,,,,,,,,,,,,
RH_fiche_372_,,,31,Toulouse,,NB Com',,,,,,,,,,,,
RH_fiche_373_,,,31,Toulouse,,CRIJ,,,,,,,,,Collectivites,,,
RH_fiche_374_,,,31,Toulouse,,SAVIM,,,,,4332049,37 906,,,,,,
RH_fiche_375_,,,31,Toulouse,,ASETE,,,,,,,,,,,,
RH_fiche_376_,,,31,Toulouse,,Mairie annexe Roseraie,,,,,,,,,,05 31 22 93 10,,
RH_fiche_377_,,,31,Toulouse,,Mairie annexe Bonnefoy,,,,,,,,,,05 61 22 22 32,,
RH_fiche_378_,,,31,Toulouse,,Cap Nomade,,,,,4338676,54 881,Association,,Association,06 01 99 36 23 ou 09 50 94 58 16,capnomade@gmail.com,http://www.capnomade.org/formations/
